label,kind,size,mtime,path
local,missing,0,0,/Users/pq/AutonomaX_AI_Integration_Starter_v11_full/﻿Link to Local Folder;0<rank<5;Repo Name - Source;Branch
local,missing,0,0,/Users/pq/autonoms_final_secure_pack/autonoma-x;5;autonoma-x;default
local,missing,0,0,/Users/pq/autonomax-hub;5;autonomax-hub;main
local,missing,0,0,/Users/pq/youtube_ai_app_v2.5/fiverr_business/fiverr_business;5;boppins/fiverr_business;main
local,missing,0,0,/Users/pq/_lazy/business_opportunity_platform/business-dashboard;5;business-dashboard;master
local,missing,0,0,/Users/pq/_lazy/business-dashboard;5;business-dashboard;master
local,missing,0,0,/Users/pq/AutonomaX_AI_Integration_Starter_v11_full;5;laziestlarry/AutonomaX_AI_Integration_Starter;main
local,missing,0,0,/Users/pq/AutonomaX_API_Commander;5;laziestlarry/AutonomaX_API_Commander;main
local,missing,0,0,/Users/pq/AutonomaX_Studio;5;laziestlarry/AutonomaX-Studio;master
local,missing,0,0,/Users/pq/autonomax-hub/AutonomaX-Studio;5;laziestlarry/AutonomaX-Studio;main
local,missing,0,0,/Users/pq/autonoms_final_secure_pack;5;laziestlarry/autonoms;master
local,missing,0,0,/Users/pq/Commander_Orchestrated_Online;5;laziestlarry/Commander;main
local,missing,0,0,/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander;5;laziestlarry/etsy-commander;main
local,missing,0,0,/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup;5;laziestlarry/etsy-commander;main
local,missing,0,0,/Users/pq/propulse-app;5;laziestlarry/propulse-app;default
local,missing,0,0,/Users/pq/__ProPulse_Group__;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax;5;laziestlarry/propulse-autonomax;master
local,missing,0,0,/Users/pq/__ProPulse_Group__/propulse-autonomax/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/scripts;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
local,missing,0,0,/Users/pq/youtube_ai_app_v2.5;5;laziestlarry/youtube-ai-platform;main
local,missing,0,0,/Users/pq/youtube_ai_app_v2.5/youtube-ai-platform;5;laziestlarry/youtube-ai-platform;main
local,missing,0,0,/Users/pq/youtube-ai-platform;5;laziestlarry/youtube-ai-platform;main
local,missing,0,0,/Users/pq/youtube_ai_app_clean;5;laziestlarry/youtubing_ai;main
local,missing,0,0,/Users/pq/youtube_ai_platform_backup_edit;5;laziestlarry/youtubing_ai;main
