ts,role,desc,path
2025-09-15 17:53:16,dev,wire BI KPIs,<none>
2025-09-17 02:50:56,research,skim + summarize objectives for Payoneer Lander Polishing,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,analysis,outline value props and risks for Payoneer Lander Polishing,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,data,define KPIs and freshness for BI,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,growth,prepare 3 posts + 10 DMs plan,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,pm,timeline + risk register,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,advisor,review blueprint and sign-off,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:56,research,skim + summarize objectives for LaziestLarry Core (placeholder),https://github.com/laziestlarry/core
2025-09-17 02:50:56,analysis,outline value props and risks for LaziestLarry Core (placeholder),https://github.com/laziestlarry/core
2025-09-17 02:50:56,data,define KPIs and freshness for BI,https://github.com/laziestlarry/core
2025-09-17 02:50:56,growth,prepare 3 posts + 10 DMs plan,https://github.com/laziestlarry/core
2025-09-17 02:50:56,pm,timeline + risk register,https://github.com/laziestlarry/core
2025-09-17 02:50:56,advisor,review blueprint and sign-off,https://github.com/laziestlarry/core
2025-09-17 02:50:56,research,skim + summarize objectives for Zen Printables Catalog (placeholder),https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,analysis,outline value props and risks for Zen Printables Catalog (placeholder),https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,data,define KPIs and freshness for BI,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,growth,prepare 3 posts + 10 DMs plan,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,pm,timeline + risk register,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,advisor,review blueprint and sign-off,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 02:50:56,research,skim + summarize objectives for Fulfillment Evidence Script,ops/team_run_demo.sh
2025-09-17 02:50:56,analysis,outline value props and risks for Fulfillment Evidence Script,ops/team_run_demo.sh
2025-09-17 02:50:57,data,define KPIs and freshness for BI,ops/team_run_demo.sh
2025-09-17 02:50:57,growth,prepare 3 posts + 10 DMs plan,ops/team_run_demo.sh
2025-09-17 02:50:57,pm,timeline + risk register,ops/team_run_demo.sh
2025-09-17 02:50:57,advisor,review blueprint and sign-off,ops/team_run_demo.sh
2025-09-17 02:50:57,research,skim + summarize objectives for Shopify→BQ Orders Backfill,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,analysis,outline value props and risks for Shopify→BQ Orders Backfill,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,dev,wire Shopify backfills to BQ + /bi,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,data,define KPIs and freshness for BI,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,growth,prepare 3 posts + 10 DMs plan,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,pm,timeline + risk register,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,advisor,review blueprint and sign-off,analytics/backfill/orders_bulk.py
2025-09-17 02:50:57,research,skim + summarize objectives for BI KPIs from BQ,analytics/bi.py
2025-09-17 02:50:57,analysis,outline value props and risks for BI KPIs from BQ,analytics/bi.py
2025-09-17 02:50:57,data,define KPIs and freshness for BI,analytics/bi.py
2025-09-17 02:50:57,growth,prepare 3 posts + 10 DMs plan,analytics/bi.py
2025-09-17 02:50:57,pm,timeline + risk register,analytics/bi.py
2025-09-17 02:50:57,advisor,review blueprint and sign-off,analytics/bi.py
2025-09-17 02:50:57,research,skim + summarize objectives for Checkout CTA via Payoneer,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:57,analysis,outline value props and risks for Checkout CTA via Payoneer,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:57,data,define KPIs and freshness for BI,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:58,growth,prepare 3 posts + 10 DMs plan,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:58,pm,timeline + risk register,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:58,advisor,review blueprint and sign-off,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 02:50:58,research,skim + summarize objectives for Deploy + Scheduler Bootstrap,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,analysis,outline value props and risks for Deploy + Scheduler Bootstrap,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,data,define KPIs and freshness for BI,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,growth,prepare 3 posts + 10 DMs plan,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,pm,timeline + risk register,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,advisor,review blueprint and sign-off,ops/deploy_ship_and_bootstrap.sh
2025-09-17 02:50:58,research,skim + summarize objectives for Shopify→BQ Products Backfill,analytics/backfill/products_bulk.py
2025-09-17 02:50:58,analysis,outline value props and risks for Shopify→BQ Products Backfill,analytics/backfill/products_bulk.py
2025-09-17 02:50:58,dev,wire Shopify backfills to BQ + /bi,analytics/backfill/products_bulk.py
2025-09-17 02:50:58,data,define KPIs and freshness for BI,analytics/backfill/products_bulk.py
2025-09-17 02:50:58,growth,prepare 3 posts + 10 DMs plan,analytics/backfill/products_bulk.py
